clamav_family,total_hashes,queried_hashes,labelled_hashes,ambiguous_hashes,dominant_vt_family,dominant_count,agreement_rate,ambiguous_rate,status,updated_at
Fugrafa,313,21,21,0,small,21,1.0,0.0,retired_stable,2026-05-25 07:09:18
Bc,85,21,21,0,virlock,20,0.952381,0.0,retired_stable,2026-05-25 07:09:18
Urelas,140,21,20,1,urelas,19,0.95,0.047619,retired_stable,2026-05-25 05:00:58
Upatre,60,20,20,0,upatre,18,0.9,0.0,retired_stable,2026-05-25 09:00:58
Nevereg,56,20,20,0,nevereg,20,1.0,0.0,retired_stable,2026-05-25 08:01:11
Fprd,45,20,20,0,fprd,20,1.0,0.0,retired_stable,2026-05-25 07:20:58
Mira,44,20,20,0,mira,19,0.95,0.0,retired_stable,2026-05-25 08:00:58
Sivis,34,20,20,0,sivis,18,0.9,0.0,retired_stable,2026-05-25 08:05:58
Amhfbekgo8P,22,20,20,0,amhfbekgo8p,18,0.9,0.0,retired_stable,2026-05-25 07:09:18
Brontok,18,18,18,0,brontok,18,1.0,0.0,small_stable,2026-05-25 06:01:11
Dinwod,14,14,14,0,dinwod,14,1.0,0.0,small_stable,2026-05-25 03:00:58
Cymt,8,8,8,0,snojan,8,1.0,0.0,small_stable,2026-05-24 20:48:48
Mailru,7,7,7,0,mailru,7,1.0,0.0,small_stable,2026-05-24 14:22:11
Cosmu,6,6,6,0,cosmu,6,1.0,0.0,small_stable,2026-05-23 19:16:37
Tinybanker,6,6,6,0,tinba,6,1.0,0.0,small_stable,2026-05-24 14:22:11
Cerber,5,5,5,0,lethic,5,1.0,0.0,small_stable,2026-05-23 19:16:37
Blackmoon,3,3,3,0,generickd,3,1.0,0.0,small_stable,2026-05-22 18:19:28
Bqrf,3,3,3,0,bqrg,3,1.0,0.0,small_stable,2026-05-22 18:19:28
Iboz,3,3,3,0,iho3wxi,3,1.0,0.0,small_stable,2026-05-22 18:19:28
Lolbot,3,3,3,0,lolbot,3,1.0,0.0,small_stable,2026-05-22 18:19:28
Coroxy,2,2,2,0,coroxy,2,1.0,0.0,small_stable,2026-05-22 18:19:28
Cqoj,2,2,2,0,cqoj,2,1.0,0.0,small_stable,2026-05-22 18:19:28
Killmbr,2,2,2,0,killmbr,2,1.0,0.0,small_stable,2026-05-22 18:19:28
Konus,2,2,2,0,konus,2,1.0,0.0,small_stable,2026-05-22 18:19:28
Lethic,2,2,2,0,generickd,2,1.0,0.0,small_stable,2026-05-22 18:19:28
Swrort,2,2,2,0,patched,2,1.0,0.0,small_stable,2026-05-22 18:19:28
Tovkater,2,2,2,0,tovkater,2,1.0,0.0,small_stable,2026-05-22 18:19:28
Alien,1,1,1,0,alien,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Atraps,1,1,1,0,bitstealer,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Azden,1,1,1,0,remcos,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Bancos,1,1,1,0,bancos,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Bladabindi,1,1,1,0,score,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Bmhfbekgo8P,1,1,1,0,bmhfbekgo8p,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Botx,1,1,1,0,generickd,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Broskod,1,1,1,0,broskod,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Brresmon,1,1,1,0,blocker,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Cardspy,1,1,1,0,cardspy,1,1.0,0.0,small_stable,2026-05-22 16:31:13
Cbgy,1,1,1,0,autorun,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Countermeasure,1,1,1,0,generickd,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Czyk,1,1,1,0,czyk,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Dada,1,1,1,0,worminer,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Disco,1,1,1,0,disco,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Downloadguide,1,1,1,0,downloadguide,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Dridex,1,1,1,0,dridex,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Dropperx,1,1,1,0,generickd,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Eati,1,1,1,0,coinminer,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Ejwl,1,1,1,0,ejwl,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Explorerhijack,1,1,1,0,diple,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Fsysna,1,1,1,0,bancteian,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Gamarue,1,1,1,0,gamarue,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Gamehack,1,1,1,0,keylogger,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Gofot,1,1,1,0,generickd,1,1.0,0.0,small_stable,2026-05-22 16:31:13
Grandsteal,1,1,1,0,zusy,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Icedid,1,1,1,0,diqt,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Jacard,1,1,1,0,generickd,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Lamer,1,1,1,0,generickd,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Libprocesshider,1,1,1,0,libprocesshider,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Lisk,1,1,1,0,lisk,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Lmir,1,1,1,0,lmir,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Loader,1,1,1,0,cometer,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Locky,1,1,1,0,autoit,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Nitol,1,1,1,0,bulz,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Oficla,1,1,1,0,dapato,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Onlinegames,1,1,1,0,onlinegames,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Qqpass,1,1,1,0,qqpass,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Refinka,1,1,1,0,dphe,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Rubat,1,1,1,0,spyeyes,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Salgorea,1,1,1,0,salgorea,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Sdbvg,1,1,1,0,sdbvg,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Sdum,1,1,1,0,dqan,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Smokeloader,1,1,1,0,krucky,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Sneaky,1,1,1,0,bingoml,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Tinukebot,1,1,1,0,tinukebot,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Ul8Cvsjbf,1,1,1,0,ul8cvsjbf,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Ulises,1,1,1,0,barys,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Unsafe,1,1,1,0,bulz,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Wakme,1,1,1,0,generickd,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Wingo,1,1,1,0,shelma,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Winsecsrv,1,1,1,0,winsecsrv,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Xani,1,1,1,0,f9krysli,1,1.0,0.0,small_stable,2026-05-22 18:19:28
Juko,198,135,129,6,juko,111,0.860465,0.0444444,active,2026-06-01 07:38:09
Amhfbyrbndc,137,134,129,5,bmhfbyrbndc,103,0.79845,0.0373134,active,2026-06-01 07:38:09
Trojan,4304,236,166,70,urelas,17,0.10241,0.29661,generic_needs_review,2026-06-01 07:38:09
missing_clamav,3743,245,157,88,eylr,26,0.165605,0.359184,generic_needs_review,2026-06-01 07:38:09
Virus,271,143,132,11,expiro,107,0.810606,0.0769231,generic_needs_review,2026-06-01 07:38:09
Worm,633,152,131,21,delf,27,0.206107,0.138158,generic_needs_review,2026-06-01 07:38:09
Dropper,588,179,131,48,generickd,29,0.221374,0.268156,generic_needs_review,2026-06-01 07:38:09
Genpack,520,217,131,86,ausiv,31,0.236641,0.396313,generic_needs_review,2026-06-01 07:38:09
Packed,1227,231,130,101,midie,13,0.1,0.437229,generic_needs_review,2026-06-01 07:42:21
Generic,271,220,130,90,qqpass,42,0.323077,0.409091,generic_needs_review,2026-06-01 07:42:20
Downloader,133,133,124,9,upatre,68,0.548387,0.0676692,generic_needs_review,2026-06-01 05:36:35
Exploit,63,63,42,21,generickd,13,0.309524,0.333333,generic_needs_review,2026-05-28 07:00:58
Adware,13,13,11,2,debris,2,0.181818,0.153846,generic_needs_review,2026-05-25 13:00:58
Agent,9,9,5,4,mikey,3,0.6,0.444444,generic_needs_review,2026-05-24 22:01:18
Backdoor,1,1,1,0,getshell,1,1.0,0.0,generic_needs_review,2026-05-22 18:19:28
Zusy,6101,286,138,148,salgorea,83,0.601449,0.517483,ambiguous_needs_review,2026-06-01 07:38:09
Fileinfector,217,157,132,25,generickd,103,0.780303,0.159236,ambiguous_needs_review,2026-06-01 07:38:09
Generickdz,1366,355,130,225,strictor,57,0.438462,0.633803,ambiguous_needs_review,2026-06-01 07:38:09
Beebone,335,281,130,151,razy,99,0.761538,0.537367,ambiguous_needs_review,2026-06-01 07:38:09
Vmprotect,169,169,126,43,vmprotect,118,0.936508,0.254438,exhausted_unstable,2026-06-01 07:06:35
Bulz,153,153,114,39,6362673,43,0.377193,0.254902,exhausted_unstable,2026-06-01 03:05:03
Ulise,179,179,106,73,mikey,26,0.245283,0.407821,exhausted_unstable,2026-06-01 01:46:16
Upantix,134,134,98,36,upantix,97,0.989796,0.268657,exhausted_unstable,2026-05-31 04:38:44
Filerepmalware,92,92,65,27,filerepmalware,30,0.461538,0.293478,exhausted_unstable,2026-05-29 11:54:33
Ransomware,59,59,44,15,qqpass,23,0.522727,0.254237,exhausted_unstable,2026-05-28 07:00:58
Razy,79,79,40,39,graftor,13,0.325,0.493671,exhausted_unstable,2026-05-28 09:56:19
Fragtor,60,60,37,23,zusy,15,0.405405,0.383333,exhausted_unstable,2026-05-28 04:00:58
Barys,56,56,36,20,genie,17,0.472222,0.357143,exhausted_unstable,2026-05-27 10:36:15
Dqan,77,77,35,42,autorun,18,0.514286,0.545455,exhausted_unstable,2026-05-28 05:51:36
Vtflooder,40,40,32,8,vtflooder,15,0.46875,0.2,exhausted_unstable,2026-05-27 08:47:33
Bskd,40,40,29,11,symmi,14,0.482759,0.275,exhausted_unstable,2026-05-27 05:00:58
Ipamor,59,59,28,31,bladabindi,13,0.464286,0.525424,exhausted_unstable,2026-05-27 10:00:58
Scar,40,40,27,13,scar,23,0.851852,0.325,exhausted_unstable,2026-05-27 03:15:58
Bymqszfb,35,35,25,10,fragtor,14,0.56,0.285714,exhausted_unstable,2026-05-27 02:50:44
Ausiv,27,27,24,3,sivis,17,0.708333,0.111111,exhausted_unstable,2026-05-26 04:00:58
Mikey,33,33,21,12,mikey,10,0.47619,0.363636,exhausted_unstable,2026-05-26 06:56:40
Swisyn,30,30,20,10,swisyn,13,0.65,0.333333,exhausted_unstable,2026-05-26 07:13:13
Vobfus,28,28,20,8,vobfus,12,0.6,0.285714,exhausted_unstable,2026-05-26 05:55:36
Delf,24,24,20,4,delf,7,0.35,0.166667,exhausted_unstable,2026-05-26 04:00:58
Cryptinject,21,21,20,1,generickd,17,0.85,0.047619,exhausted_unstable,2026-05-25 07:09:18
Kolab,27,27,17,10,autorun,13,0.764706,0.37037,exhausted_unstable,2026-05-26 03:00:58
Hoax,20,20,17,3,generickd,11,0.647059,0.15,exhausted_unstable,2026-05-26 02:00:58
Autoit,18,18,16,2,autoit,16,1.0,0.111111,exhausted_unstable,2026-05-25 14:48:50
Midie,22,22,15,7,generickd,10,0.666667,0.318182,exhausted_unstable,2026-05-26 01:38:57
Avlj,42,42,14,28,ulise,9,0.642857,0.666667,exhausted_unstable,2026-05-26 08:01:14
Uztuby,16,16,13,3,uztuby,7,0.538462,0.1875,exhausted_unstable,2026-05-25 14:48:50
Shipup,13,13,13,0,shipup,12,0.923077,0.0,exhausted_unstable,2026-05-25 01:00:58
Cerbu,53,53,12,41,autorun,6,0.5,0.773585,exhausted_unstable,2026-05-27 03:27:10
Keylogger,13,13,12,1,stealer,3,0.25,0.0769231,exhausted_unstable,2026-05-25 01:00:58
Fareit,21,21,10,11,fareit,4,0.4,0.52381,exhausted_unstable,2026-05-25 14:00:58
Doina,20,20,10,10,barys,4,0.4,0.5,exhausted_unstable,2026-05-25 15:13:50
Bublik,13,13,10,3,upatre,9,0.9,0.230769,exhausted_unstable,2026-05-25 05:00:58
Lazy,11,11,10,1,zapchast,5,0.5,0.0909091,exhausted_unstable,2026-05-25 00:00:59
Flyagent,19,19,9,10,flyagent,5,0.555556,0.526316,exhausted_unstable,2026-05-25 13:00:58
Wapomi,18,18,9,9,vjadtre,5,0.555556,0.5,exhausted_unstable,2026-05-25 14:00:58
Zbot,12,12,9,3,kryptik,6,0.666667,0.25,exhausted_unstable,2026-05-25 05:00:58
Gotango,10,10,8,2,flyagent,8,1.0,0.2,exhausted_unstable,2026-05-25 03:00:58
Wecod,10,10,8,2,urelas,6,0.75,0.2,exhausted_unstable,2026-05-25 05:00:58
Genkryptik,9,9,8,1,generickd,3,0.375,0.111111,exhausted_unstable,2026-05-24 23:00:58
Reconyc,9,9,8,1,zusy,6,0.75,0.111111,exhausted_unstable,2026-05-24 23:00:58
Ursu,9,9,8,1,jatif,1,0.125,0.111111,exhausted_unstable,2026-05-24 23:00:58
Msilkrypt,87,87,7,80,mardom,4,0.571429,0.91954,exhausted_unstable,2026-05-27 02:50:44
Johnnie,9,9,7,2,agentb,7,1.0,0.222222,exhausted_unstable,2026-05-24 23:00:58
Amhfxaazhpc,8,8,7,1,shyape,7,1.0,0.125,exhausted_unstable,2026-05-24 21:22:33
Botgor,8,8,7,1,dyjc,4,0.571429,0.125,exhausted_unstable,2026-05-24 20:48:48
Awcd,13,13,6,7,johnnie,3,0.5,0.538462,exhausted_unstable,2026-05-25 01:00:58
Fasong,12,12,6,6,fasong,6,1.0,0.5,exhausted_unstable,2026-05-24 23:00:58
Malwarex,6,6,5,1,latot,4,0.8,0.166667,exhausted_unstable,2026-05-23 19:16:37
Packer,5,5,5,0,ransom,3,0.6,0.0,exhausted_unstable,2026-05-23 19:16:37
Spyware,5,5,5,0,generickd,2,0.4,0.0,exhausted_unstable,2026-05-23 19:16:37
Qakbot,15,15,4,11,mewsspy,4,1.0,0.733333,exhausted_unstable,2026-05-25 05:00:58
Msilperseus,13,13,4,9,msilzilla,2,0.5,0.692308,exhausted_unstable,2026-05-24 23:00:58
Agentb,6,6,4,2,generickd,2,0.5,0.333333,exhausted_unstable,2026-05-23 19:16:37
Mansabo,4,4,4,0,coinminer,3,0.75,0.0,exhausted_unstable,2026-05-23 19:16:37
Shyape,4,4,4,0,shyape,3,0.75,0.0,exhausted_unstable,2026-05-23 19:16:38
Agen,9,9,3,6,agen,1,0.333333,0.666667,exhausted_unstable,2026-05-24 20:48:48
Zpevdo,6,6,3,3,binder,1,0.333333,0.5,exhausted_unstable,2026-05-24 14:22:11
Coinminer,5,5,3,2,miner,2,0.666667,0.4,exhausted_unstable,2026-05-23 19:16:37
Dmsc,4,4,3,1,doina,2,0.666667,0.25,exhausted_unstable,2026-05-23 19:16:38
Ponystealer,4,4,3,1,ponystealer,3,1.0,0.25,exhausted_unstable,2026-05-22 18:19:28
Byfh,3,3,3,0,generickd,2,0.666667,0.0,exhausted_unstable,2026-05-22 18:19:28
Nymeria,3,3,3,0,androm,1,0.333333,0.0,exhausted_unstable,2026-05-22 18:19:28
Passteal,3,3,3,0,passteal,2,0.666667,0.0,exhausted_unstable,2026-05-22 18:19:28
Trojanx,5,5,2,3,barys,1,0.5,0.6,exhausted_unstable,2026-05-23 19:16:37
Metasploit,3,3,2,1,zusy,2,1.0,0.333333,exhausted_unstable,2026-05-22 18:19:28
Revoked,3,3,2,1,rootkit,1,0.5,0.333333,exhausted_unstable,2026-05-22 18:19:28
Stantinko,3,3,2,1,stantinko,2,1.0,0.333333,exhausted_unstable,2026-05-23 19:16:37
Cwqw,2,2,2,0,bodegun,1,0.5,0.0,exhausted_unstable,2026-05-22 18:19:28
Msilzilla,2,2,2,0,msilzilla,1,0.5,0.0,exhausted_unstable,2026-05-22 18:19:28
Rfhnpahob,2,2,2,0,rlye5ldob,1,0.5,0.0,exhausted_unstable,2026-05-22 18:19:28
Score,2,2,2,0,kryptik,1,0.5,0.0,exhausted_unstable,2026-05-22 18:19:28
Tool,2,2,2,0,223038,1,0.5,0.0,exhausted_unstable,2026-05-22 18:19:28
Ffam,2,2,1,1,generickdz,1,1.0,0.5,exhausted_unstable,2026-05-22 18:19:28
Gepys,2,2,1,1,gepys,1,1.0,0.5,exhausted_unstable,2026-05-22 18:19:28
Psixbot,2,2,1,1,zusy,1,1.0,0.5,exhausted_unstable,2026-05-22 18:19:28
Qukart,2,2,1,1,razy,1,1.0,0.5,exhausted_unstable,2026-05-22 18:19:28
Xtrat,2,2,1,1,cmgfbqlw05p,1,1.0,0.5,exhausted_unstable,2026-05-22 18:19:28
Zapchast,2,2,1,1,zapchast,1,1.0,0.5,exhausted_unstable,2026-05-22 18:19:28
Eclz,4,4,0,4,,0,0.0,1.0,exhausted_unstable,2026-05-23 19:16:37
Redcap,4,4,0,4,,0,0.0,1.0,exhausted_unstable,2026-05-23 19:16:37
Raccoon,2,2,0,2,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
0040Eff,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 16:39:22
3D43D,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 16:39:22
Aej6Tal,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 16:39:22
Autohk,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Browsefox,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Filerepmetagen,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Flystudio,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Genericrxex,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Mardom,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Mepaow,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Python,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Rozena,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 16:31:13
Screenshoter,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Sodinokibi,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Trickbot,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
Zygug,1,1,0,1,,0,0.0,1.0,exhausted_unstable,2026-05-22 18:19:28
